Survived,Ticket,number,Cabin
0,330911,5,
1,363272,3,C85
0,240276,6,
0,315154,3,E31
1,3101298,A,
0,7538,5,C123
1,330972,3,
0,248738,6,
1,2657,3,
0,A/4 48871,A,
0,349220,5,
0,694,3,
1,21228,6,B45
0,24065,3,
1,W.E.P. 5734,A,E31
1,SC/PARIS 2167,5,
0,233734,3,
0,2692,6,
1,STON/O2. 3101270,3,
1,2696,A,
0,PC 17603,5,
0,C 17368,3,
1,PC 17598,6,
0,PC 17597,3,
1,PC 17608,A,B57 B59 B63 B66
0,A/5. 3337,5,
1,113509,3,B36
0,2698,6,
0,113054,3,A21
0,2662,A,
0,SC/AH 3085,5,
0,C.A. 31029,3,
1,C.A. 2315,6,
1,W./C. 6607,3,
0,13236,A,C78
0,2682,5,
1,342712,3,
1,315087,6,
0,345768,3,
0,1601,A,
0,349256,5,
0,113778,3,D34
0,SOTON/O.Q. 3101263,6,
1,237249,3,
1,11753,A,D19
0,STON/O 2. 3101291,5,
0,PC 17594,3,A9
0,370374,6,
1,11813,3,D15
1,C.A. 37671,A,
0,13695,5,C31
0,SC/PARIS 2168,3,
1,29105,6,
1,19950,3,C23 C25 C27
0,SC/A.3 2861,5,
0,382652,3,
0,349230,6,
0,348122,3,F G63
0,386525,A,
1,PC 17608,5,B61
0,349232,3,
0,237216,6,
0,347090,3,
1,334914,A,
0,PC 17608,5,B57 B59 B63 B66
1,F.C.C. 13534,3,
1,330963,6,
0,113796,3,
0,2543,A,C53
1,19950,5,C23 C25 C27
1,382653,3,
0,349211,6,
1,3101297,3,
0,PC 17562,A,D43
1,113503,5,C130
0,113503,3,C132
0,359306,6,
1,11770,3,C101
0,248744,A,
1,368702,5,
0,2678,3,
0,PC 17483,6,C55 C57
0,19924,3,
0,349238,A,
0,240261,5,
0,2660,3,
1,330844,6,
1,A/4 31416,3,
1,364856,A,
0,29103,5,
1,347072,3,
0,345498,6,
1,F.C. 12750,3,B71
0,376563,A,
0,13905,5,
0,350033,3,
1,19877,6,C46
0,STON/O 2. 3101268,3,
1,347471,A,
0,A./5. 3338,5,
1,11778,3,C116
0,228414,6,
0,365235,3,
0,347070,A,
1,2625,5,
0,C 4001,3,
0,330920,6,
0,383162,3,
0,3410,A,
0,248734,5,F
0,237734,3,
1,330968,6,
1,PC 17531,3,A29
1,329944,A,
1,PC 17483,5,C55 C57
0,2680,3,
0,2681,6,
1,PP 9549,3,G6
0,13050,A,C6
1,SC/AH 29037,5,
1,C.A. 33595,3,
0,367227,6,
1,13236,3,C28
0,392095,A,
0,368783,5,
1,371362,3,
0,350045,6,
1,367226,3,
0,211535,A,
0,342441,5,
0,STON/OQ. 369943,3,
0,113780,6,C51
1,4133,3,
0,2621,A,
0,349226,5,
0,350409,3,
0,2656,6,
0,248659,3,
1,SOTON/OQ 392083,A,
0,CA 2144,5,
1,CA 2144,3,
1,113781,6,
0,PC 17608,3,B57 B59 B63 B66
0,244358,A,
0,17475,5,
0,345763,3,
0,17463,6,E46
0,SC/A4 23568,3,
0,113791,A,
0,250651,5,
1,11767,3,C54
0,349255,6,
0,3701,3,
1,350405,A,
0,347077,5,
0,S.O./P.P. 752,3,
1,PC 17483,6,C97
1,347469,3,
0,110489,A,D22
1,SOTON/O.Q. 3101315,5,
1,335432,3,
0,2650,6,
1,220844,3,
0,343271,A,
0,237393,5,
1,315153,3,
0,PC 17591,6,B10
0,W./C. 6608,3,
1,17770,A,
1,7548,5,
0,S.O./P.P. 251,3,
0,2670,6,
0,347072,3,
0,2673,A,
0,347077,5,
1,29750,3,
1,C.A. 33112,6,
0,11778,3,C116
1,230136,A,F4
1,PC 17756,5,E45
0,233478,3,
0,PC 17756,6,E52
1,113773,3,D30
0,7935,A,
1,PC 17558,5,B58 B60
0,239059,3,
1,S.O./P.P. 2,6,
0,A/4 48873,3,
1,CA. 2343,A,
0,28221,5,
0,226875,3,
0,111163,6,
0,A/5. 851,3,
0,235509,A,
0,28220,5,
0,347465,3,
0,16966,6,E34
1,347066,3,
0,C.A. 31030,A,
1,65305,5,
1,36568,3,
0,347080,6,
0,PC 17757,3,C62 C64
1,26360,A,
0,C.A. 34050,5,
0,F.C. 12998,3,
1,9232,6,
0,28034,3,
1,PC 17613,A,A11
0,349250,5,
0,C 4001,3,
0,SOTON/O.Q. 3101308,6,
0,S.O.C. 14879,3,
1,24065,A,
1,347091,5,
0,113038,3,B11
1,330924,6,
0,36928,3,
1,113503,A,C80
0,32302,5,
1,SC/PARIS 2148,3,
0,342684,6,
1,W./C. 14266,3,F33
0,350053,A,
1,PC 17606,5,
1,2661,3,
0,350054,6,
1,370368,3,
0,C.A. 6212,A,
0,242963,5,
0,220845,3,
1,113795,6,
0,3101266,3,
0,330971,A,
0,PC 17599,5,C85
0,350416,3,
0,110813,6,D37
0,2679,3,
1,250650,A,
1,PC 17761,5,C86
1,112377,3,
1,237789,6,
0,16966,3,E34
0,3470,A,
0,W./C. 6607,5,
0,17464,3,D21
1,F.C.C. 13534,6,
0,28220,3,
1,26707,A,
1,2660,5,
1,C.A. 34651,3,
0,SOTON/O2 3101284,6,
0,13508,3,C89
0,7266,A,
0,345775,5,
0,C.A. 42795,3,
0,AQ/4 3130,6,
0,363611,3,
1,28404,A,
0,345501,5,
0,345572,3,
0,350410,6,
1,29103,3,
1,350405,A,
0,C.A. 34644,5,
0,349235,3,
0,112051,6,
0,C.A. 49867,3,
1,A. 2. 39186,5,
0,315095,3,
0,13050,6,C6
0,368573,3,
1,13508,A,C89
1,370371,5,
0,2676,3,
1,236853,6,
0,SC 14888,3,
0,2926,A,
0,CA 31352,5,
0,W./C. 14260,3,
1,315085,6,
0,SOTON/O.Q. 3101315,3,
1,364859,A,
1,2650,5,
1,370129,3,
0,A/5 21175,6,
0,SOTON/O.Q. 3101314,3,
0,21228,A,B45
0,2655,5,F E46
0,A/5 1478,3,
0,PC 17607,6,
1,382650,3,
0,2652,A,
0,33638,5,A34
0,345771,3,
0,349202,6,
1,SC/Paris 2123,3,
0,2662,A,
0,113801,5,
0,347467,2,
0,347079,6,
0,237735,1,D
0,S.O./P.P. 2,A,
0,315092,5,
1,383123,3,
1,112901,4,B26
0,113781,3,C22 C26
0,392091,A,
0,12749,5,B69
1,350026,3,
0,315091,6,
0,2658,3,
0,LP 1588,A,
1,368364,5,
1,PC 17760,2,C32
1,AQ/3. 30631,6,
0,PC 17569,3,B78
0,28004,A,
0,350408,5,
0,C.A. 31029,1,
0,347075,6,
0,2654,3,F E57
0,244368,A,F2
0,113790,5,
1,24160,4,
0,SOTON/O.Q. 3101309,6,
1,230136,3,F4
0,PC 17585,A,
0,2003,5,
0,236854,3,
1,C.A. 33112,6,
0,PC 17580,3,A18
0,2684,A,
1,2653,5,
0,349229,3,
0,110469,6,C106
0,244360,3,
0,2675,A,
0,C.A. 31029,5,
0,2622,3,
0,C.A. 15185,6,
0,350403,3,
0,CA. 2343,A,
1,PC 17755,5,B51 B53 B55
0,A/5. 851,3,
1,348125,2,
0,237670,3,
1,2688,A,
0,248726,5,
1,F.C.C. 13528,1,
1,PC 17759,6,D10 D12
0,F.C.C. 13540,3,
0,S.O.C. 14879,A,
0,220845,5,
1,C.A. 2315,4,
0,113044,6,E60
1,11769,3,C101
0,1222,A,
0,368402,5,
1,349910,3,
0,CA. 2343,6,
1,S.C./PARIS 2079,3,
1,CA 31352,A,
0,315083,5,
1,11765,3,E50
1,CA. 2343,2,
0,2689,3,
1,3101295,A,
1,112378,5,
0,SC/PARIS 2147,1,
0,28133,6,
1,16966,3,E39 E41
0,112058,A,B52 B54 B56
0,248746,5,
1,33638,4,A34
1,PC 17608,6,
1,315152,3,
0,29107,A,
0,680,5,C39
0,347077,3,
0,366713,6,
0,330910,3,
1,364498,A,
1,376566,5,
0,SC/PARIS 2159,2,
1,220845,6,
0,349911,3,
0,244346,A,
0,364858,1,
0,349909,3,
0,12749,6,B24
1,PC 17592,3,D28
0,C.A. 2673,A,
0,C.A. 30769,5,
0,315153,2,
1,13695,6,C31
0,371109,3,
1,13567,A,B41
0,347065,5,
0,21332,3,
1,36928,6,C7
0,28664,3,
1,112378,A,
0,113059,5,
0,17765,2,D40
0,SC/PARIS 2166,6,D38
0,28666,3,
0,113503,A,C80
1,334915,5,
1,SOTON/O.Q. 3101315,3,
1,365237,1,
1,19928,3,C78
1,347086,A,
0,A.5. 3236,5,
1,PC 17758,4,C105
0,SOTON/O.Q. 3101262,6,
0,359309,3,
0,2668,A,
